config_label,question_id,question,expected_answer,answerable,supporting_pages,supporting_section_heading,retrieved_chunk_ids,retrieved_pages,hit_at_1,hit_at_3,recall_at_5,mrr_at_5,ndcg_at_5,context_precision,context_recall,latency_ms,top_chunk_score,top_chunk_preview,notes
section_500_o10,q001,Does the policy automatically provide cover for loss or damage caused by Flood?,No. The policy does not automatically provide cover for loss or damage caused by Flood.,True,7,Summary of the available covers,0007.1 | 0137.1 | 0064.1 | 0062.1 | 0068.1,7 | 30 | 18 | 18 | 19,1.0,1.0,1.0,1.0,1.0,0.2,1.0,12.16,15.3749,document summary of the available covers not everything is covered by the policy the following is a limited summary only and as such does not form part of the terms of your insurance all cover is subject to the applicabl,
section_500_o10,q002,Which sections are insured under the policy?,Only the sections shown as covered in the Schedule are insured.,True,9,Our contract with You,0462.1 | 0094.1 | 0485.1 | 0010.1 | 0312.1,80 | 24 | 83 | 9 | 56,0.0,0.0,1.0,0.25,0.431,0.2,1.0,11.65,10.5112,document 2 accumulation of sum insured any amount payable to you under this section will not accumulate with any other cover that may be available for the same loss under theft and or money sections of the policy,
section_500_o10,q003,How long is the cooling off period for this insurance?,The cooling off period is 14 days.,True,10,Your cooling off rights,0014.1 | 0605.1 | 0017.1 | 0451.1 | 0042.1,10 | 96 | 10 | 79 | 13,1.0,1.0,1.0,1.0,1.0,0.2,1.0,11.48,23.8277,document your cooling off rights a 14 day cooling off period applies to this insurance so if you decide you don't want this policy you can cancel it up to 14 days from the date we issue a new policy to you or the start d,
section_500_o10,q004,What must You disclose before entering into the insurance contract?,"You must disclose every matter You know, or could reasonably be expected to know, is relevant to Allianz's decision whether to accept the risk and on what terms.",True,12,Your Duty of Disclosure,0032.1 | 0010.1 | 0590.1 | 0408.1 | 0398.1,12 | 9 | 95 | 71 | 69,1.0,1.0,1.0,1.0,1.0,0.2,1.0,11.84,23.4969,document your duty of disclosure before you enter into a contract of insurance with us you have a duty under the insurance contracts act 1984 to disclose to us every matter that you know or could reasonably be expected t,
section_500_o10,q005,A building has been left vacant for more than 60 consecutive days. What does the Unoccupied Buildings exclusion say about cover at that building?,The policy does not provide cover at a Building after it has been Unoccupied for more than 60 consecutive days.,True,19,General exclusions - Unoccupied Buildings,0069.1 | 0160.1 | 0108.1 | 0136.1 | 0386.1,19 | 34 | 27 | 30 | 67,1.0,1.0,1.0,1.0,1.0,0.2,1.0,12.12,49.4529,document 7 unoccupied buildings except for loss or damage to property insured caused by a lightning earthquake and subterranean fire or b impact by any road vehicle or their loads animals trees or branches meteorite airc,
section_500_o10,q006,What does the policy mean by Excess?,"Excess is the amount of money specified in the Schedule or Policy that You must contribute for claims from one event, or the specified period for which no payment will be made by Allianz.",True,16,General definitions - Excess,0030.1 | 0011.1 | 0595.1 | 0015.1 | 0052.1,12 | 9 | 95 | 10 | 16,0.0,0.0,1.0,0.2,0.387,0.2,1.0,11.18,8.579,document renewal procedure before your policy expires we will advise you whether we intend to off er renewal and if so on what terms this document also applies for any off er of renewal we may make unless we tell you oth,
section_500_o10,q007,One event leads to claims under more than one section of the policy. Which Excess applies?,Only the single highest Excess applies to all claims arising out of the one event.,True,24,General terms and conditions - Payment of Excess,0091.1 | 0302.1 | 0433.1 | 0095.1 | 0224.1,24 | 55 | 76 | 24 | 43,1.0,1.0,1.0,1.0,1.0,0.2,1.0,11.43,24.1748,document 15 payment of excess you must pay the excess amount as a contribution to your claim and in accordance with the terms and conditions applicable to the section of your policy under which you are making a claim if ,
section_500_o10,q008,"What must You do about the police if malicious Damage, theft, attempted theft or loss of property may result in a claim?",You must inform the police as soon as reasonably possible.,True,20,Claims procedure and conditions - Claims procedure,0073.1 | 0590.1 | 0093.1 | 0213.1 | 0593.1,20 | 95 | 24 | 41 | 95,1.0,1.0,1.0,1.0,1.0,0.2,1.0,12.52,23.8985,document 1 claims procedure a as soon as reasonably possible of you becoming aware of anything happening which may result in a claim under the policy you must take reasonable steps to do the following at your own expense,
section_500_o10,q009,What does the Commercial Property Section cover?,"It covers Property Insured that is accidentally Damaged at the Situation during the Period of Insurance, subject to the applicable limits and Basis of Settlement.",True,25,Commercial Property Section - The cover,0312.1 | 0065.1 | 0007.1 | 0094.1 | 0339.1,56 | 18 | 7 | 24 | 61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.31,11.1097,document defined events applicable to parts a b and c of this section 1 any damage to property insured for which you are insured by us a or would have been had there not been an excess under the commercial property secti,
section_500_o10,q010,"Under the Theft Section, what type of building entry or exit can trigger cover?","Visible, forcible and violent entry into or exit from Buildings at the Situation can trigger cover.",True,32,Theft Section - The cover,0141.1 | 0386.1 | 0158.1 | 0146.1 | 0159.1,32 | 67 | 34 | 33 | 34,1.0,1.0,1.0,1.0,1.0,0.2,1.0,11.14,18.0744,document the cover we will pay you in accordance with the basis of settlement for the cost of replacing or repairing property insured following theft from the situation happening during the period of insurance by 1 visib,
